[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Tag[ view_parse ] --START--
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Run ParseTemplate Behavior [ RunTime:0.068885s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069075s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Tag[ view_filter ] --START--
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Run ContentReplace Behavior [ RunTime:0.001039s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Run TokenBuild Behavior [ RunTime:0.000884s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001019s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Run ShowRuntime Behavior [ RunTime:0.000822s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004087s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Tag[ view_end ] --START--
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000999s ]
[ 2013-02-28T14:49:46+08:00 ] /thinkmao/Admin.php/Goods/add_top_cate_show?pid=24 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001120s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ route_check ] --START--
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run CheckRoute Behavior [ RunTime:0.001250s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001414s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001057s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001261s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.467068s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_goods` LIMIT 1   [ RunTime:0.072679s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | SQL: SELECT * FROM `hd_goods` LIMIT 0,10   [ RunTime:0.000884s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_template ] --START--
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001171s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001314s ]
[ 2013-02-28T14:50:28+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run ParseTemplate Behavior [ RunTime:0.207722s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.208950s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run ContentReplace Behavior [ RunTime:0.001580s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run TokenBuild Behavior [ RunTime:0.000779s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000471s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001130s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004296s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_end ] --START--
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001065s ]
[ 2013-02-28T14:50:29+08:00 ] /thinkmao/Admin.php/ListGoods/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001190s ]
[ 2013-02-28T14:50:30+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --START--
[ 2013-02-28T14:50:30+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.001806s ]
[ 2013-02-28T14:50:30+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001962s ]
[ 2013-02-28T14:50:30+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-28T14:50:30+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001145s ]
[ 2013-02-28T14:50:30+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001251s ]
[ 2013-02-28T14:50:31+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.012238s ]
[ 2013-02-28T14:50:31+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category`  [ RunTime:0.000820s ]
[ 2013-02-28T14:50:31+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.011799s ]
