[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | NOTIC: [8] Undefined index: cid 40f5aa715ed4e8da38f300230f372fb6.php 第 28 行.
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | NOTIC: [8] Undefined variable: page 40f5aa715ed4e8da38f300230f372fb6.php 第 36 行.
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ParseTemplate Behavior [ RunTime:0.004211s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004257s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_filter ] --START--
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ContentReplace Behavior [ RunTime:0.000157s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run TokenBuild Behavior [ RunTime:0.000051s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000026s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ShowRuntime Behavior [ RunTime:0.000060s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000370s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_end ] --START--
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ShowPageTrace Behavior [ RunTime:0.000033s ]
[ 2013-01-22T00:03:16+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_end ] --END-- [ RunTime:0.000057s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ route_check ] --START--
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run CheckRoute Behavior [ RunTime:0.000162s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ route_check ] --END-- [ RunTime:0.000391s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000148s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000229s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_template ] --START--
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run LocationTemplate Behavior [ RunTime:0.000101s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_template ] --END-- [ RunTime:0.000189s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_parse ] --START--
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ParseTemplate Behavior [ RunTime:0.004075s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004154s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_filter ] --START--
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ContentReplace Behavior [ RunTime:0.000094s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run TokenBuild Behavior [ RunTime:0.000053s ]
