[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004647s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001240s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001370s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.001654s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.001814s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003009s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003137s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run LocationTemplate Behavior [ RunTime:0.001541s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_template ] --END-- [ RunTime:0.001695s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ParseTemplate Behavior [ RunTime:0.068033s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068178s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ContentReplace Behavior [ RunTime:0.002682s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run TokenBuild Behavior [ RunTime:0.001015s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001762s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ShowRuntime Behavior [ RunTime:0.001264s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007225s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.001514s ]
[ 2013-02-19T00:00:50+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.001641s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ route_check ] --START--
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run CheckRoute Behavior [ RunTime:0.062829s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.062984s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001369s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001492s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.015859s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | SQL: SELECT * FROM `hd_goods`  [ RunTime:0.000820s ]
[ 2013-02-19T00:00:54+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run LocationTemplate Behavior [ RunTime:0.021550s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.021691s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ParseTemplate Behavior [ RunTime:0.114920s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.115063s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ContentReplace Behavior [ RunTime:0.001926s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run TokenBuild Behavior [ RunTime:0.001015s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000645s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001057s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005039s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000997s ]
[ 2013-02-19T00:00:55+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001121s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001494s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001643s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.006086s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.006231s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.074507s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.074640s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001298s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001031s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001057s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001225s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005081s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001242s ]
[ 2013-02-19T00:01:09+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001358s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.001606s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.001765s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001156s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001266s ]
