[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (16,17,18,23,24)  [ RunTime:0.000105s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000096s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (12,14,21)  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (13,22)  [ RunTime:0.000095s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000095s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000047s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000103s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000049s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
