[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 113 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 114 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 115 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 116 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 117 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 118 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 119 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined offset: 120 common.php 第 230 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 113, 118)  [ RunTime:0.000182s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_template ] --START--
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run LocationTemplate Behavior [ RunTime:0.000103s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_template ] --END-- [ RunTime:0.000137s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | NOTIC: [8] Undefined index: unit c63db93b06b43bc7bcfefc81fe69b7a1.php 第 220 行.
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run ParseTemplate Behavior [ RunTime:0.013088s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013131s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run ContentReplace Behavior [ RunTime:0.000194s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run TokenBuild Behavior [ RunTime:0.000059s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000031s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run ShowRuntime Behavior [ RunTime:0.000085s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000462s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_end ] --START--
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Run ShowPageTrace Behavior [ RunTime:0.000043s ]
[ 2013-01-30T10:00:02+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ view_end ] --END-- [ RunTime:0.000073s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ route_check ] --START--
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | INFO: Run CheckRoute Behavior [ RunTime:0.000199s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ route_check ] --END-- [ RunTime:0.000419s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000148s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000228s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000632s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000404s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000447s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000375s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000384s ]
[ 2013-01-30T10:01:13+08:00 ] /thinkmao/Index.php/Cart | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000373s ]
