[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 284 common.php 第 230 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 285 common.php 第 230 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 286 common.php 第 230 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 282, 284)  [ RunTime:0.000290s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000122s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000156s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.002460s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002517s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000101s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000057s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000337s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000060s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000088s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000027s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.003270s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009972s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.000634s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000082s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000025s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000006s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000047s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.010338s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
