[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: attr_com common.php 第 265 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_number common.php 第 266 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: series common.php 第 267 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_price common.php 第 268 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 262 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 263 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: inventory common.php 第 264 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: attr_com common.php 第 265 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_number common.php 第 266 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: series common.php 第 267 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_price common.php 第 268 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 262 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 263 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: inventory common.php 第 264 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: attr_com common.php 第 265 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_number common.php 第 266 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: series common.php 第 267 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_price common.php 第 268 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 262 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 263 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: inventory common.php 第 264 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: attr_com common.php 第 265 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_number common.php 第 266 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: series common.php 第 267 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_price common.php 第 268 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 262 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: in_id common.php 第 263 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: inventory common.php 第 264 行.
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | NOTIC: [8] Undefined index: attr_com common.php 第 265 行.
