[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000665s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000127s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (11,10,12,13,14,15,16,17,18,19,20,21,23,24,25)  [ RunTime:0.000316s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000125s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (15,24)  [ RunTime:0.000100s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000153s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (15,18,22,26)  [ RunTime:0.000265s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000287s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (14,16,19,20,26)  [ RunTime:0.000126s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000086s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (19)  [ RunTime:0.000091s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000340s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (16,17,18,23,24)  [ RunTime:0.000140s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000081s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (12,14,21)  [ RunTime:0.000095s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000090s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (13,22)  [ RunTime:0.000246s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000123s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000056s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000108s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000050s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000098s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (17,25,26)  [ RunTime:0.000128s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000100s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (23)  [ RunTime:0.000095s ]
