[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 138 common.php 第 119 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 139 common.php 第 119 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 140 common.php 第 119 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 141 common.php 第 119 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 142 common.php 第 119 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 143 common.php 第 119 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 144 common.php 第 128 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 145 common.php 第 128 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 146 common.php 第 128 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 147 common.php 第 128 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 144 common.php 第 203 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 145 common.php 第 203 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 146 common.php 第 203 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | NOTIC: [8] Undefined offset: 147 common.php 第 203 行.
[ 2013-01-29T12:24:42+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ view_template ] --START--
